time;Tac;hs;u;Rg;Ca;Pa
1990-01-01 01:00:00;4.23;93.89;1.04;0.05;534;101.3
1990-01-01 02:00:00;4.23;93.89;1.04;0.05;534;101.3
1990-01-01 03:00:00;4.23;93.89;1.04;0.05;534;101.3
1990-01-01 04:00:00;4.23;93.89;1.04;0.05;534;101.3
1990-01-01 05:00:00;4.23;93.89;1.04;0.05;534;101.3
1990-01-01 06:00:00;4.23;93.89;1.04;0.05;534;101.3
1990-01-01 07:00:00;3.78;95.49;0.92;0.05;534;101.3
1990-01-01 08:00:00;5.65;88.82;1.44;59.96;534;101.3
1990-01-01 09:00:00;7.46;82.32;1.96;133.06;534;101.3
1990-01-01 10:00:00;9.17;76.22;2.44;193.09;534;101.3
1990-01-01 11:00:00;10.7;70.73;2.88;234.15;534;101.3
1990-01-01 12:00:00;12.01;66.03;3.25;252.2;534;101.3
1990-01-01 13:00:00;13.06;62.3;3.55;245.47;534;101.3
1990-01-01 14:00:00;13.79;59.66;3.77;214.63;534;101.3
1990-01-01 15:00:00;14.2;58.2;3.89;162.69;534;101.3
1990-01-01 16:00:00;14.27;57.97;3.91;94.78;534;101.3
1990-01-01 17:00:00;13.99;58.98;3.84;17.55;534;101.3
1990-01-01 18:00:00;13.37;61.19;3.67;0.05;534;101.3
1990-01-01 19:00:00;12.43;64.53;3.41;0.05;534;101.3
1990-01-01 20:00:00;11.22;68.89;3.07;0.05;534;101.3
1990-01-01 21:00:00;4.23;93.89;1.04;0.05;534;101.3
1990-01-01 22:00:00;4.23;93.89;1.04;0.05;534;101.3
1990-01-01 23:00:00;4.23;93.89;1.04;0.05;534;101.3
1990-01-02 00:00:00;4.23;93.89;1.04;0.05;534;101.3
1990-01-02 01:00:00;3.83;95.02;1.22;0.05;534;101.3
1990-01-02 02:00:00;3.83;95.02;1.22;0.05;534;101.3
1990-01-02 03:00:00;3.83;95.02;1.22;0.05;534;101.3
1990-01-02 04:00:00;3.83;95.02;1.22;0.05;534;101.3
1990-01-02 05:00:00;3.83;95.02;1.22;0.05;534;101.3
1990-01-02 06:00:00;3.83;95.02;1.22;0.05;534;101.3
1990-01-02 07:00:00;3.39;96.59;1.09;0.05;534;101.3
1990-01-02 08:00:00;5.28;89.9;1.61;63.44;534;101.3
1990-01-02 09:00:00;7.11;83.38;2.12;140.28;534;101.3
1990-01-02 10:00:00;8.84;77.26;2.59;203.37;534;101.3
1990-01-02 11:00:00;10.39;71.76;3.02;246.51;534;101.3
1990-01-02 12:00:00;11.72;67.05;3.39;265.47;534;101.3
1990-01-02 13:00:00;12.77;63.31;3.68;258.41;534;101.3
1990-01-02 14:00:00;13.52;60.67;3.89;226;534;101.3
1990-01-02 15:00:00;13.93;59.2;4.01;171.42;534;101.3
1990-01-02 16:00:00;14;58.97;4.04;100.04;534;101.3
1990-01-02 17:00:00;13.71;59.98;3.97;18.85;534;101.3
1990-01-02 18:00:00;13.09;62.2;3.8;0.05;534;101.3
