time;Tac;hs;u;Rg;Ca;Pa
1990-01-01 01:00:00;7.68;91.53;1.56;0.28;400;101.3
1990-01-01 02:00:00;7.57;90.58;1.63;0.28;400;101.3
1990-01-01 03:00:00;7.29;90.84;1.6;0.31;400;101.3
1990-01-01 04:00:00;7.13;91.16;1.43;0.28;400;101.3
1990-01-01 05:00:00;6.93;91.58;1.35;0.28;400;101.3
1990-01-01 06:00:00;6.9;91.37;1.4;0.31;400;101.3
1990-01-01 07:00:00;6.86;90.74;1.32;0.31;400;101.3
1990-01-01 08:00:00;6.91;90.32;1.37;6.02;400;101.3
1990-01-01 09:00:00;7.61;89.37;1.39;58.89;400;101.3
1990-01-01 10:00:00;9.26;85.37;1.51;139.3;400;101.3
1990-01-01 11:00:00;10.75;80.37;1.61;189;400;101.3
1990-01-01 12:00:00;12.03;76.32;1.73;235.1;400;101.3
1990-01-01 13:00:00;12.86;75.53;1.93;254.83;400;101.3
1990-01-01 14:00:00;13.56;73.89;1.99;233.08;400;101.3
1990-01-01 15:00:00;13.87;73.89;2.05;175.85;400;101.3
1990-01-01 16:00:00;12.89;78.28;2.03;108.64;400;101.3
1990-01-01 17:00:00;11.77;80.37;1.58;22.05;400;101.3
1990-01-01 18:00:00;10.53;83.42;1.45;0.74;400;101.3
1990-01-01 19:00:00;10.01;84.11;1.57;0.2;400;101.3
1990-01-01 20:00:00;9.37;85.68;1.54;0.2;400;101.3
1990-01-01 21:00:00;8.84;87.68;1.4;0.18;400;101.3
1990-01-01 22:00:00;8.08;89.74;1.22;0.2;400;101.3
1990-01-01 23:00:00;7.85;90.47;1.18;0.2;400;101.3
1990-01-01 00:00:00;7.66;90.89;1.31;0.2;400;101.3
1990-01-02 01:00:00;7.52;90.05;1.28;0.23;400;101.3
1990-01-02 02:00:00;7.48;89.89;1.46;0.2;400;101.3
1990-01-02 03:00:00;7.59;88.47;1.5;0.13;400;101.3
1990-01-02 04:00:00;7.32;88.89;1.45;0.18;400;101.3
1990-01-02 05:00:00;6.94;88.58;1.33;0.2;400;101.3
1990-01-02 06:00:00;6.66;89.21;1.37;0.2;400;101.3
1990-01-02 07:00:00;6.44;90.21;1.25;0.23;400;101.3
1990-01-02 08:00:00;6.52;91.05;1.29;7.86;400;101.3
1990-01-02 09:00:00;7.71;89.37;1.24;75.25;400;101.3
1990-01-02 10:00:00;9.36;83.74;1.44;150.73;400;101.3
1990-01-02 11:00:00;11.01;78.05;1.74;222.03;400;101.3
1990-01-02 12:00:00;12.39;73.84;1.92;283.04;400;101.3
1990-01-02 13:00:00;13.46;70.53;1.93;308.49;400;101.3
1990-01-02 14:00:00;13.91;69.32;1.98;294.98;400;101.3
1990-01-02 15:00:00;13.96;68.21;1.9;226.24;400;101.3
1990-01-02 16:00:00;13.53;70.21;1.74;139.53;400;101.3
1990-01-02 17:00:00;11.48;78.16;1.47;29.28;400;101.3
1990-01-02 18:00:00;9.63;82.21;1.3;1.2;400;101.3
1990-01-02 19:00:00;8.28;84.84;1.16;0.23;400;101.3
1990-01-02 20:00:00;7.46;86.53;1.11;0.23;400;101.3
1990-01-02 21:00:00;6.92;86.37;1.11;0.26;400;101.3
1990-01-02 22:00:00;6.74;87.37;1.26;0.26;400;101.3
1990-01-02 23:00:00;6.5;87.21;1.25;0.23;400;101.3
1990-01-02 00:00:00;6.01;88.11;1.21;0.18;400;101.3
1990-01-03 01:00:00;5.65;89.32;1.04;0.15;400;101.3
1990-01-03 02:00:00;5.58;89.21;1.11;0.18;400;101.3
1990-01-03 03:00:00;5.2;89.74;1.12;0.23;400;101.3
1990-01-03 04:00:00;4.94;90.53;1.14;0.2;400;101.3
1990-01-03 05:00:00;4.8;89.74;1.09;0.2;400;101.3
1990-01-03 06:00:00;4.4;89.68;1.08;0.23;400;101.3
1990-01-03 07:00:00;4.03;90.26;1.05;0.2;400;101.3
1990-01-03 08:00:00;3.92;90.79;1.01;9.55;400;101.3
1990-01-03 09:00:00;5.32;87.65;1.11;97.15;400;101.3
1990-01-03 10:00:00;7.91;80.8;1.28;214.71;400;101.3
1990-01-03 11:00:00;10.25;71.3;1.52;300.7;400;101.3
1990-01-03 12:00:00;11.89;66.1;1.71;355.75;400;101.3
1990-01-03 13:00:00;13.01;62.65;1.82;373.38;400;101.3
1990-01-03 14:00:00;13.81;59.75;1.84;333.58;400;101.3
1990-01-03 15:00:00;13.94;61.35;1.91;255.33;400;101.3
1990-01-03 16:00:00;13.04;67;1.75;154.45;400;101.3
1990-01-03 17:00:00;10.31;77.63;1.49;26.14;400;101.3
1990-01-03 18:00:00;8.57;83.8;1.6;0.9;400;101.3
1990-01-03 19:00:00;7.6;87;1.33;0.22;400;101.3
1990-01-03 20:00:00;6.65;89.5;1.28;0.24;400;101.3
1990-01-03 21:00:00;6.29;91;1.31;0.21;400;101.3
1990-01-03 22:00:00;5.87;91.9;1.14;0.16;400;101.3
1990-01-03 23:00:00;5.47;92.71;1.17;0.16;400;101.3
1990-01-03 00:00:00;5.06;93.95;1.11;0.18;400;101.3
1990-01-04 01:00:00;4.81;94.48;1.04;0.18;400;101.3
1990-01-04 02:00:00;4.51;96.24;1.02;0.18;400;101.3
1990-01-04 03:00:00;4.27;96.9;1.03;0.21;400;101.3
1990-01-04 04:00:00;3.94;96.6;1.01;0.21;400;101.3
1990-01-04 05:00:00;3.81;97.45;1.02;0.18;400;101.3
1990-01-04 06:00:00;3.78;97.43;1.12;0.18;400;101.3
1990-01-04 07:00:00;3.76;97.5;1.09;0.23;400;101.3
1990-01-04 08:00:00;3.59;97.57;1.07;7.48;400;101.3
1990-01-04 09:00:00;5.04;96.33;1.12;77.55;400;101.3
1990-01-04 10:00:00;7.29;89;1.47;182.75;400;101.3
1990-01-04 11:00:00;9.29;80.52;1.68;263.42;400;101.3
1990-01-04 12:00:00;10.92;73.05;1.72;318.67;400;101.3
1990-01-04 13:00:00;12.08;68.19;1.85;342.29;400;101.3
1990-01-04 14:00:00;12.7;66.19;1.88;292.25;400;101.3
1990-01-04 15:00:00;12.84;66.48;1.77;226.82;400;101.3
1990-01-04 16:00:00;12.46;68.9;1.76;122.52;400;101.3
1990-01-04 17:00:00;10.7;76.29;1.43;28.82;400;101.3
1990-01-04 18:00:00;8.69;83.95;1.45;1.15;400;101.3
1990-01-04 19:00:00;7.65;86.52;1.34;0.28;400;101.3
1990-01-04 20:00:00;6.88;88.9;1.19;0.3;400;101.3
1990-01-04 21:00:00;6.31;90.29;1.09;0.37;400;101.3
1990-01-04 22:00:00;5.86;91.14;1.15;0.35;400;101.3
1990-01-04 23:00:00;5.48;91.62;1.15;0.35;400;101.3
1990-01-04 00:00:00;5.05;92.19;1.12;0.39;400;101.3
1990-01-05 01:00:00;5.01;90.48;1.22;0.3;400;101.3
1990-01-05 02:00:00;4.66;90.57;1.16;0.37;400;101.3
1990-01-05 03:00:00;4.53;89.86;1.11;0.35;400;101.3
1990-01-05 04:00:00;4.48;89.15;1.24;0.25;400;101.3
1990-01-05 05:00:00;4.48;88.8;1.3;0.25;400;101.3
1990-01-05 06:00:00;4.62;87.85;1.31;0.23;400;101.3
1990-01-05 07:00:00;4.4;88.65;1.25;0.21;400;101.3
1990-01-05 08:00:00;4.28;88.75;1.24;8.82;400;101.3
1990-01-05 09:00:00;5.44;87.35;1.36;87.9;400;101.3
1990-01-05 10:00:00;7.44;84.1;1.53;195.73;400;101.3
1990-01-05 11:00:00;9.34;76.81;1.8;284.49;400;101.3
1990-01-05 12:00:00;10.81;70.14;1.86;333.54;400;101.3
1990-01-05 13:00:00;12.05;64.62;2.01;361.74;400;101.3
1990-01-05 14:00:00;13.05;60.95;1.88;334.37;400;101.3
1990-01-05 15:00:00;13.33;60.38;1.95;261.51;400;101.3
1990-01-05 16:00:00;12.88;63.48;1.93;157.44;400;101.3
1990-01-05 17:00:00;10.59;73.24;1.64;31.66;400;101.3
1990-01-05 18:00:00;8.85;78.05;1.57;1.11;400;101.3
1990-01-05 19:00:00;7.68;81.52;1.51;0.23;400;101.3
1990-01-05 20:00:00;7.24;82.33;1.43;0.25;400;101.3
1990-01-05 21:00:00;6.59;83.15;1.29;0.28;400;101.3
1990-01-05 22:00:00;6.31;82.42;1.33;0.28;400;101.3
1990-01-05 23:00:00;6.08;82.68;1.24;0.25;400;101.3
1990-01-05 00:00:00;5.9;82.79;1.22;0.25;400;101.3
1990-01-06 01:00:00;5.81;83.05;1.28;0.37;400;101.3
1990-01-06 02:00:00;5.65;83.47;1.21;0.35;400;101.3
1990-01-06 03:00:00;5.57;83.16;1.28;0.25;400;101.3
1990-01-06 04:00:00;5.33;83.37;1.31;0.25;400;101.3
1990-01-06 05:00:00;5.02;84.16;1.25;0.42;400;101.3
1990-01-06 06:00:00;4.77;85.05;1.07;0.44;400;101.3
1990-01-06 07:00:00;4.68;85.79;1.04;0.42;400;101.3
1990-01-06 08:00:00;4.83;86.37;1.12;6.63;400;101.3
1990-01-06 09:00:00;5.69;84.53;1.09;65.71;400;101.3
1990-01-06 10:00:00;7.43;82.4;1.18;154.25;400;101.3
1990-01-06 11:00:00;9.19;77.57;1.39;231;400;101.3
1990-01-06 12:00:00;10.72;71.48;1.6;287.24;400;101.3
1990-01-06 13:00:00;11.91;66.9;1.51;298.07;400;101.3
1990-01-06 14:00:00;12.68;63.9;1.7;278.16;400;101.3
1990-01-06 15:00:00;13.08;64.24;1.75;221.21;400;101.3
1990-01-06 16:00:00;12.58;68.19;1.51;138.57;400;101.3
1990-01-06 17:00:00;10.56;76.71;1.28;33.14;400;101.3
1990-01-06 18:00:00;8.64;83.48;1.25;1.57;400;101.3
1990-01-06 19:00:00;7.84;85.81;1.22;0.21;400;101.3
1990-01-06 20:00:00;7.3;88.19;1.12;0.3;400;101.3
1990-01-06 21:00:00;7.04;88.35;1.12;0.28;400;101.3
1990-01-06 22:00:00;6.94;88.65;1.15;0.28;400;101.3
1990-01-06 23:00:00;6.8;88.63;1.21;0.18;400;101.3
1990-01-06 00:00:00;6.5;90.05;1.32;0.32;400;101.3
1990-01-07 01:00:00;6.07;92.26;1.17;0.32;400;101.3
1990-01-07 02:00:00;5.98;92.68;1.11;0.37;400;101.3
1990-01-07 03:00:00;5.84;93.16;1.21;0.35;400;101.3
1990-01-07 04:00:00;5.83;93.47;1.19;0.37;400;101.3
1990-01-07 05:00:00;5.63;93.68;1.24;0.32;400;101.3
1990-01-07 06:00:00;5.62;93.95;1.3;0.3;400;101.3
1990-01-07 07:00:00;5.73;93.32;1.46;0.3;400;101.3
1990-01-07 08:00:00;5.93;92.74;1.46;6.61;400;101.3
1990-01-07 09:00:00;6.64;92.3;1.45;59.35;400;101.3
1990-01-07 10:00:00;8.1;87.5;1.41;131;400;101.3
1990-01-07 11:00:00;9.78;80.6;1.58;210.56;400;101.3
1990-01-07 12:00:00;11.06;76.1;1.56;243.1;400;101.3
1990-01-07 13:00:00;12;73.62;1.66;257.67;400;101.3
1990-01-07 14:00:00;12.61;71.95;1.72;257.19;400;101.3
1990-01-07 15:00:00;12.66;73.33;1.82;195.02;400;101.3
