time;Tac;hs;u;Rg;Ca;Pa
1990-07-18 01:00:00;13.41;86.39;0.73;0.12;400;101.3
1990-07-18 02:00:00;12.66;88.83;0.74;0.12;400;101.3
1990-07-18 03:00:00;12.33;90.26;0.73;0.12;400;101.3
1990-07-18 04:00:00;12.22;91.78;0.76;0.12;400;101.3
1990-07-18 05:00:00;11.98;92.58;0.97;0.35;400;101.3
1990-07-18 06:00:00;12.59;92.37;0.83;25.52;400;101.3
1990-07-18 07:00:00;14.75;86.6;1.02;121.41;400;101.3
1990-07-18 08:00:00;16.45;80.9;1.14;273.61;400;101.3
1990-07-18 09:00:00;18.87;73.2;1.37;520.31;400;101.3
1990-07-18 10:00:00;21.36;64.95;1.73;701.17;400;101.3
1990-07-18 11:00:00;23.57;58.3;2.07;810.8;400;101.3
1990-07-18 12:00:00;25.44;52.47;2.39;872.66;400;101.3
1990-07-18 13:00:00;27.31;48.11;2.59;893.54;400;101.3
1990-07-18 14:00:00;28.53;45.89;2.96;865.17;400;101.3
1990-07-18 15:00:00;28.96;43.68;3.2;790.85;400;101.3
1990-07-18 16:00:00;28.79;43.11;3.35;667.57;400;101.3
1990-07-18 17:00:00;27.86;44.21;3.49;502.9;400;101.3
1990-07-18 18:00:00;26.25;46.79;3.25;311.3;400;101.3
1990-07-18 19:00:00;24.19;50.84;2.87;131.94;400;101.3
1990-07-18 20:00:00;21.51;56.95;2.06;10.69;400;101.3
1990-07-18 21:00:00;18.86;66.11;1.55;0.23;400;101.3
1990-07-18 22:00:00;16.94;73.53;1.24;0.16;400;101.3
1990-07-18 23:00:00;15.54;79.21;1.02;0.16;400;101.3
1990-07-19 00:00:00;14.39;82.42;0.82;0.12;400;101.3
1990-07-19 01:00:00;13.62;84.61;0.74;0.12;400;101.3
1990-07-19 02:00:00;12.79;87.11;0.72;0.14;400;101.3
1990-07-19 03:00:00;12.47;89.32;0.77;0.12;400;101.3
1990-07-19 04:00:00;12.33;90.11;0.79;0.09;400;101.3
1990-07-19 05:00:00;12.24;92.26;1.11;0.3;400;101.3
1990-07-19 06:00:00;12.49;90.83;0.8;23.4;400;101.3
1990-07-19 07:00:00;14.47;84.53;0.98;115.59;400;101.3
1990-07-19 08:00:00;16.18;79.15;1.26;256.59;400;101.3
1990-07-19 09:00:00;18.08;72.95;1.46;475.83;400;101.3
1990-07-19 10:00:00;20.44;65.5;1.71;671.12;400;101.3
