time;Tac;hs;u;Rg;Ca;Pa
1990-07-01 01:00:00;16.65;75.9;0.72;0.05;837;101.3
1990-07-01 02:00:00;16.65;75.9;0.72;0.05;837;101.3
1990-07-01 03:00:00;16.65;75.9;0.72;0.05;837;101.3
1990-07-01 04:00:00;16.65;75.9;0.72;0.05;837;101.3
1990-07-01 05:00:00;16.65;75.9;0.72;0.05;837;101.3
1990-07-01 06:00:00;16.65;75.9;0.72;0.05;837;101.3
1990-07-01 07:00:00;23.26;58.61;1.91;405.94;837;101.3
1990-07-01 08:00:00;25.79;51.97;2.36;552.3;837;101.3
1990-07-01 09:00:00;28.12;45.88;2.78;676.95;837;101.3
1990-07-01 10:00:00;30.19;40.48;3.15;774.99;837;101.3
1990-07-01 11:00:00;31.95;35.87;3.47;842.58;837;101.3
1990-07-01 12:00:00;33.36;32.18;3.73;877.05;837;101.3
1990-07-01 13:00:00;34.39;29.48;3.91;877.05;837;101.3
1990-07-01 14:00:00;35.02;27.84;4.02;842.58;837;101.3
1990-07-01 15:00:00;35.23;27.28;4.06;774.99;837;101.3
1990-07-01 16:00:00;35.02;27.84;4.02;676.95;837;101.3
1990-07-01 17:00:00;34.39;29.48;3.91;552.3;837;101.3
1990-07-01 18:00:00;33.36;32.18;3.73;405.94;837;101.3
1990-07-01 19:00:00;31.95;35.87;3.47;243.63;837;101.3
1990-07-01 20:00:00;30.19;40.48;3.15;71.75;837;101.3
1990-07-01 21:00:00;16.65;75.9;0.72;0.05;837;101.3
1990-07-01 22:00:00;16.65;75.9;0.72;0.05;837;101.3
1990-07-01 23:00:00;16.65;75.9;0.72;0.05;837;101.3
1990-07-02 00:00:00;16.65;75.9;0.72;0.05;837;101.3
1990-07-02 01:00:00;16.62;76.71;0.68;0.05;837;101.3
1990-07-02 02:00:00;16.62;76.71;0.68;0.05;837;101.3
1990-07-02 03:00:00;16.62;76.71;0.68;0.05;837;101.3
1990-07-02 04:00:00;16.62;76.71;0.68;0.05;837;101.3
1990-07-02 05:00:00;16.62;76.71;0.68;0.05;837;101.3
1990-07-02 06:00:00;16.62;76.71;0.68;0.05;837;101.3
1990-07-02 07:00:00;23.19;59.28;2;408.43;837;101.3
1990-07-02 08:00:00;25.71;52.59;2.51;555.96;837;101.3
1990-07-02 09:00:00;28.03;46.44;2.97;681.62;837;101.3
1990-07-02 10:00:00;30.09;40.98;3.39;780.46;837;101.3
1990-07-02 11:00:00;31.84;36.34;3.74;848.6;837;101.3
1990-07-02 12:00:00;33.24;32.61;4.02;883.35;837;101.3
1990-07-02 13:00:00;34.27;29.88;4.23;883.35;837;101.3
1990-07-02 14:00:00;34.89;28.22;4.35;848.6;837;101.3
1990-07-02 15:00:00;35.1;27.66;4.4;780.46;837;101.3
1990-07-02 16:00:00;34.89;28.22;4.35;681.62;837;101.3
1990-07-02 17:00:00;34.27;29.88;4.23;555.96;837;101.3
1990-07-02 18:00:00;33.24;32.61;4.02;408.43;837;101.3
1990-07-02 19:00:00;31.84;36.34;3.74;244.83;837;101.3
1990-07-02 20:00:00;30.09;40.98;3.39;71.6;837;101.3
1990-07-02 21:00:00;16.62;76.71;0.68;0.05;837;101.3
1990-07-02 22:00:00;16.62;76.71;0.68;0.05;837;101.3
1990-07-02 23:00:00;16.62;76.71;0.68;0.05;837;101.3
1990-07-03 00:00:00;16.62;76.71;0.68;0.05;837;101.3
1990-07-03 01:00:00;16.5;79.16;0.81;0.05;837;101.3
1990-07-03 02:00:00;16.5;79.16;0.81;0.05;837;101.3
1990-07-03 03:00:00;16.5;79.16;0.81;0.05;837;101.3
1990-07-03 04:00:00;16.5;79.16;0.81;0.05;837;101.3
1990-07-03 05:00:00;16.5;79.16;0.81;0.05;837;101.3
1990-07-03 06:00:00;16.5;79.16;0.81;0.05;837;101.3
1990-07-03 07:00:00;23.07;61.05;2.02;411.38;837;101.3
1990-07-03 08:00:00;25.6;54.08;2.49;560.29;837;101.3
1990-07-03 09:00:00;27.93;47.68;2.92;687.13;837;101.3
1990-07-03 10:00:00;29.99;41.99;3.3;786.9;837;101.3
1990-07-03 11:00:00;31.74;37.15;3.62;855.69;837;101.3
1990-07-03 12:00:00;33.15;33.27;3.88;890.77;837;101.3
1990-07-03 13:00:00;34.18;30.43;4.07;890.77;837;101.3
1990-07-03 14:00:00;34.81;28.7;4.19;855.69;837;101.3
1990-07-03 15:00:00;35.02;28.12;4.23;786.9;837;101.3
1990-07-03 16:00:00;34.81;28.7;4.19;687.13;837;101.3
1990-07-03 17:00:00;34.18;30.43;4.07;560.29;837;101.3
1990-07-03 18:00:00;33.15;33.27;3.88;411.38;837;101.3
1990-07-03 19:00:00;31.74;37.15;3.62;246.27;837;101.3
1990-07-03 20:00:00;29.99;41.99;3.3;71.46;837;101.3
1990-07-03 21:00:00;16.5;79.16;0.81;0.05;837;101.3
1990-07-03 22:00:00;16.5;79.16;0.81;0.05;837;101.3
1990-07-03 23:00:00;16.5;79.16;0.81;0.05;837;101.3
1990-07-04 00:00:00;16.5;79.16;0.81;0.05;837;101.3
1990-07-04 01:00:00;16.62;78.78;0.81;0.05;837;101.3
1990-07-04 02:00:00;16.62;78.78;0.81;0.05;837;101.3
1990-07-04 03:00:00;16.62;78.78;0.81;0.05;837;101.3
1990-07-04 04:00:00;16.62;78.78;0.81;0.05;837;101.3
1990-07-04 05:00:00;16.62;78.78;0.81;0.05;837;101.3
1990-07-04 06:00:00;16.62;78.78;0.81;0.05;837;101.3
1990-07-04 07:00:00;23.16;60.76;1.97;409.35;837;101.3
1990-07-04 08:00:00;25.68;53.8;2.42;557.87;837;101.3
1990-07-04 09:00:00;28;47.41;2.83;684.38;837;101.3
1990-07-04 10:00:00;30.06;41.74;3.19;783.91;837;101.3
1990-07-04 11:00:00;31.81;36.92;3.5;852.53;837;101.3
1990-07-04 12:00:00;33.22;33.04;3.75;887.52;837;101.3
1990-07-04 13:00:00;34.25;30.21;3.93;887.52;837;101.3
1990-07-04 14:00:00;34.87;28.49;4.04;852.53;837;101.3
1990-07-04 15:00:00;35.08;27.91;4.08;783.91;837;101.3
1990-07-04 16:00:00;34.87;28.49;4.04;684.38;837;101.3
1990-07-04 17:00:00;34.25;30.21;3.93;557.87;837;101.3
1990-07-04 18:00:00;33.22;33.04;3.75;409.35;837;101.3
1990-07-04 19:00:00;31.81;36.92;3.5;244.69;837;101.3
1990-07-04 20:00:00;30.06;41.74;3.19;70.39;837;101.3
1990-07-04 21:00:00;16.62;78.78;0.81;0.05;837;101.3
1990-07-04 22:00:00;16.62;78.78;0.81;0.05;837;101.3
1990-07-04 23:00:00;16.62;78.78;0.81;0.05;837;101.3
1990-07-05 00:00:00;16.62;78.78;0.81;0.05;837;101.3
1990-07-05 01:00:00;16.56;77.84;0.78;0.05;837;101.3
1990-07-05 02:00:00;16.56;77.84;0.78;0.05;837;101.3
1990-07-05 03:00:00;16.56;77.84;0.78;0.05;837;101.3
1990-07-05 04:00:00;16.56;77.84;0.78;0.05;837;101.3
1990-07-05 05:00:00;16.56;77.84;0.78;0.05;837;101.3
1990-07-05 06:00:00;16.56;77.84;0.78;0.05;837;101.3
1990-07-05 07:00:00;23.28;59.89;1.93;410.9;837;101.3
1990-07-05 08:00:00;25.88;52.94;2.37;560.35;837;101.3
1990-07-05 09:00:00;28.27;46.57;2.77;687.68;837;101.3
