time;Tac;hs;u;Rg;Ca;Pa
1990-01-01 01:00:00;5.33;94.35;1.38;0;400;101.3
1990-01-01 02:00:00;5.08;94.35;1.12;0;400;101.3
1990-01-01 03:00:00;4.66;95.1;1.04;0;400;101.3
1990-01-01 04:00:00;4.49;94.9;1.05;0;400;101.3
1990-01-01 05:00:00;4.5;94.05;1.19;0;400;101.3
1990-01-01 06:00:00;4.67;93.6;1.31;0;400;101.3
1990-01-01 07:00:00;4.76;92.8;1.18;0;400;101.3
1990-01-01 08:00:00;4.86;93.35;1.28;15.82;400;101.3
1990-01-01 09:00:00;5.97;92.55;1.56;75.78;400;101.3
1990-01-01 10:00:00;7.66;88.62;1.83;147.28;400;101.3
1990-01-01 11:00:00;9.07;83.38;2.08;215.13;400;101.3
1990-01-01 12:00:00;10.4;78.33;2.03;251.37;400;101.3
1990-01-01 13:00:00;11.4;74.05;2.1;243.31;400;101.3
1990-01-01 14:00:00;12.1;71.14;2.02;217.1;400;101.3
1990-01-01 15:00:00;12.33;70.29;1.92;161.09;400;101.3
1990-01-01 16:00:00;12.21;70.52;1.88;91.04;400;101.3
1990-01-01 17:00:00;11.3;74.05;1.86;19.88;400;101.3
1990-01-01 18:00:00;9.86;80.52;1.73;0;400;101.3
1990-01-01 19:00:00;8.82;85.19;1.67;0;400;101.3
1990-01-01 20:00:00;8.03;88.29;1.46;0;400;101.3
1990-01-01 21:00:00;7.01;89.95;1.41;0;400;101.3
1990-01-01 22:00:00;6.75;90.15;1.36;0;400;101.3
1990-01-01 23:00:00;6.77;91.67;1.33;0;400;101.3
1990-01-01 00:00:00;6.37;92.71;1.35;0;400;101.3
1990-01-02 01:00:00;6.24;92.55;1.24;0;400;101.3
1990-01-02 02:00:00;5.91;93.1;1.21;0;400;101.3
1990-01-02 03:00:00;5.77;92.95;1.43;0;400;101.3
1990-01-02 04:00:00;5.31;93.3;1.41;0;400;101.3
1990-01-02 05:00:00;5.09;93.6;1.3;0;400;101.3
1990-01-02 06:00:00;5.15;93.5;1.41;0;400;101.3
1990-01-02 07:00:00;5.13;93.65;1.55;0;400;101.3
1990-01-02 08:00:00;5.15;93.6;1.59;15.29;400;101.3
1990-01-02 09:00:00;5.63;91.84;1.82;92.06;400;101.3
1990-01-02 10:00:00;7.81;87.55;2.04;148.06;400;101.3
1990-01-02 11:00:00;8.94;84;2.18;198.04;400;101.3
1990-01-02 12:00:00;9.84;81.7;2.62;216.93;400;101.3
1990-01-02 13:00:00;10.59;78.4;2.64;235.8;400;101.3
1990-01-02 14:00:00;11.28;74.8;2.47;232.22;400;101.3
1990-01-02 15:00:00;11.61;73.2;2.31;172.45;400;101.3
1990-01-02 16:00:00;11.53;73.25;2.19;100.93;400;101.3
1990-01-02 17:00:00;10.62;78.1;1.86;19.33;400;101.3
1990-01-02 18:00:00;9.24;82.95;1.51;0;400;101.3
1990-01-02 19:00:00;8.35;86.57;1.61;0;400;101.3
1990-01-02 20:00:00;7.88;88.19;1.57;0;400;101.3
1990-01-02 21:00:00;7.37;89.14;1.59;0;400;101.3
1990-01-02 22:00:00;6.83;90.05;1.52;0;400;101.3
1990-01-02 23:00:00;6.45;90.9;1.37;0;400;101.3
