time;Tac;hs;u;Rg;Ca;Pa
1990-07-01 01:00:00;19.55;62.12;1.45;0.05;534;101.3
1990-07-01 02:00:00;19.55;62.12;1.45;0.05;534;101.3
1990-07-01 03:00:00;19.55;62.12;1.45;0.05;534;101.3
1990-07-01 04:00:00;19.55;62.12;1.45;0.05;534;101.3
1990-07-01 05:00:00;19.55;62.12;1.45;0.05;534;101.3
1990-07-01 06:00:00;19.55;62.12;1.45;0.05;534;101.3
1990-07-01 07:00:00;26.6;47.02;2.43;412;534;101.3
1990-07-01 08:00:00;29.41;41.01;2.82;566.4;534;101.3
1990-07-01 09:00:00;31.99;35.48;3.18;698.08;534;101.3
1990-07-01 10:00:00;34.29;30.58;3.5;801.76;534;101.3
1990-07-01 11:00:00;36.24;26.4;3.77;873.28;534;101.3
1990-07-01 12:00:00;37.81;23.04;3.99;909.77;534;101.3
1990-07-01 13:00:00;38.96;20.59;4.15;909.77;534;101.3
1990-07-01 14:00:00;39.66;19.09;4.25;873.28;534;101.3
1990-07-01 15:00:00;39.89;18.59;4.28;801.76;534;101.3
1990-07-01 16:00:00;39.66;19.09;4.25;698.08;534;101.3
1990-07-01 17:00:00;38.96;20.59;4.15;566.4;534;101.3
1990-07-01 18:00:00;37.81;23.04;3.99;412;534;101.3
1990-07-01 19:00:00;36.24;26.4;3.77;241.08;534;101.3
1990-07-01 20:00:00;34.29;30.58;3.5;60.49;534;101.3
1990-07-01 21:00:00;19.55;62.12;1.45;0.05;534;101.3
1990-07-01 22:00:00;19.55;62.12;1.45;0.05;534;101.3
1990-07-01 23:00:00;19.55;62.12;1.45;0.05;534;101.3
1990-07-02 00:00:00;19.55;62.12;1.45;0.05;534;101.3
1990-07-02 01:00:00;19.53;62.54;1.36;0.05;534;101.3
1990-07-02 02:00:00;19.53;62.54;1.36;0.05;534;101.3
1990-07-02 03:00:00;19.53;62.54;1.36;0.05;534;101.3
1990-07-02 04:00:00;19.53;62.54;1.36;0.05;534;101.3
1990-07-02 05:00:00;19.53;62.54;1.36;0.05;534;101.3
1990-07-02 06:00:00;19.53;62.54;1.36;0.05;534;101.3
1990-07-02 07:00:00;26.61;47.31;2.42;410.62;534;101.3
1990-07-02 08:00:00;29.43;41.24;2.84;564.78;534;101.3
1990-07-02 09:00:00;32.02;35.66;3.22;696.26;534;101.3
1990-07-02 10:00:00;34.32;30.7;3.57;799.79;534;101.3
1990-07-02 11:00:00;36.28;26.48;3.86;871.21;534;101.3
1990-07-02 12:00:00;37.85;23.09;4.09;907.65;534;101.3
1990-07-02 13:00:00;39.01;20.61;4.27;907.65;534;101.3
1990-07-02 14:00:00;39.71;19.1;4.37;871.21;534;101.3
1990-07-02 15:00:00;39.94;18.59;4.41;799.79;534;101.3
1990-07-02 16:00:00;39.71;19.1;4.37;696.26;534;101.3
1990-07-02 17:00:00;39.01;20.61;4.27;564.78;534;101.3
1990-07-02 18:00:00;37.85;23.09;4.09;410.62;534;101.3
