time;Tac;hs;u;Rg;Ca;Pa
1990-01-01 01:00:00;5.96;96.03;1.18;0.05;837;101.3
1990-01-01 02:00:00;5.96;96.03;1.18;0.05;837;101.3
1990-01-01 03:00:00;5.96;96.03;1.18;0.05;837;101.3
1990-01-01 04:00:00;5.96;96.03;1.18;0.05;837;101.3
1990-01-01 05:00:00;5.96;96.03;1.18;0.05;837;101.3
1990-01-01 06:00:00;5.96;96.03;1.18;0.05;837;101.3
1990-01-01 07:00:00;5.49;97.69;1.04;0.05;837;101.3
1990-01-01 08:00:00;7.45;90.76;1.62;59.16;837;101.3
1990-01-01 09:00:00;9.34;84.03;2.19;131.62;837;101.3
1990-01-01 10:00:00;11.11;77.76;2.72;191.97;837;101.3
1990-01-01 11:00:00;12.68;72.19;3.2;234.63;837;101.3
1990-01-01 12:00:00;13.99;67.53;3.61;255.68;837;101.3
1990-01-01 13:00:00;14.99;63.95;3.93;253.18;837;101.3
1990-01-01 14:00:00;15.66;61.61;4.17;227.36;837;101.3
1990-01-01 15:00:00;15.95;60.58;4.3;180.6;837;101.3
1990-01-01 16:00:00;15.85;60.91;4.33;117.2;837;101.3
1990-01-01 17:00:00;15.38;62.58;4.25;43.01;837;101.3
1990-01-01 18:00:00;14.55;65.52;4.06;0.05;837;101.3
1990-01-01 19:00:00;13.39;69.64;3.78;0.05;837;101.3
1990-01-01 20:00:00;11.95;74.76;3.41;0.05;837;101.3
1990-01-01 21:00:00;5.96;96.03;1.18;0.05;837;101.3
1990-01-01 22:00:00;5.96;96.03;1.18;0.05;837;101.3
1990-01-01 23:00:00;5.96;96.03;1.18;0.05;837;101.3
1990-01-02 00:00:00;5.96;96.03;1.18;0.05;837;101.3
1990-01-02 01:00:00;6.05;96.44;1.11;0.05;837;101.3
1990-01-02 02:00:00;6.05;96.44;1.11;0.05;837;101.3
1990-01-02 03:00:00;6.05;96.44;1.11;0.05;837;101.3
1990-01-02 04:00:00;6.05;96.44;1.11;0.05;837;101.3
1990-01-02 05:00:00;6.05;96.44;1.11;0.05;837;101.3
1990-01-02 06:00:00;6.05;96.44;1.11;0.05;837;101.3
1990-01-02 07:00:00;5.58;98.12;0.94;0.05;837;101.3
1990-01-02 08:00:00;7.57;90.94;1.67;57.14;837;101.3
1990-01-02 09:00:00;9.49;83.97;2.38;126.68;837;101.3
1990-01-02 10:00:00;11.29;77.48;3.04;184.58;837;101.3
1990-01-02 11:00:00;12.88;71.7;3.64;225.5;837;101.3
1990-01-02 12:00:00;14.21;66.88;4.16;245.69;837;101.3
1990-01-02 13:00:00;15.24;63.18;4.57;243.29;837;101.3
1990-01-02 14:00:00;15.91;60.75;4.86;218.53;837;101.3
1990-01-02 15:00:00;16.2;59.68;5.03;173.67;837;101.3
1990-01-02 16:00:00;16.11;60.02;5.06;112.84;837;101.3
1990-01-02 17:00:00;15.63;61.75;4.96;41.64;837;101.3
1990-01-02 18:00:00;14.79;64.8;4.73;0.05;837;101.3
1990-01-02 19:00:00;13.61;69.06;4.38;0.05;837;101.3
1990-01-02 20:00:00;12.14;74.37;3.91;0.05;837;101.3
1990-01-02 21:00:00;6.05;96.44;1.11;0.05;837;101.3
1990-01-02 22:00:00;6.05;96.44;1.11;0.05;837;101.3
1990-01-02 23:00:00;6.05;96.44;1.11;0.05;837;101.3
1990-01-03 00:00:00;6.05;96.44;1.11;0.05;837;101.3
1990-01-03 01:00:00;6.28;96.01;1.01;0.05;837;101.3
1990-01-03 02:00:00;6.28;96.01;1.01;0.05;837;101.3
1990-01-03 03:00:00;6.28;96.01;1.01;0.05;837;101.3
1990-01-03 04:00:00;6.28;96.01;1.01;0.05;837;101.3
1990-01-03 05:00:00;6.28;96.01;1.01;0.05;837;101.3
1990-01-03 06:00:00;6.28;96.01;1.01;0.05;837;101.3
1990-01-03 07:00:00;5.82;97.64;0.86;0.05;837;101.3
1990-01-03 08:00:00;7.79;90.52;1.48;60.02;837;101.3
1990-01-03 09:00:00;9.71;83.61;2.09;132.56;837;101.3
1990-01-03 10:00:00;11.49;77.17;2.65;192.93;837;101.3
1990-01-03 11:00:00;13.07;71.44;3.16;235.6;837;101.3
1990-01-03 12:00:00;14.39;66.66;3.6;256.65;837;101.3
1990-01-03 13:00:00;15.41;62.99;3.95;254.15;837;101.3
1990-01-03 14:00:00;16.07;60.58;4.2;228.33;837;101.3
1990-01-03 15:00:00;16.36;59.53;4.34;181.56;837;101.3
1990-01-03 16:00:00;16.27;59.86;4.37;118.12;837;101.3
1990-01-03 17:00:00;15.8;61.58;4.28;43.85;837;101.3
1990-01-03 18:00:00;14.96;64.6;4.09;0.05;837;101.3
1990-01-03 19:00:00;13.79;68.83;3.79;0.05;837;101.3
1990-01-03 20:00:00;12.34;74.09;3.39;0.05;837;101.3
1990-01-03 21:00:00;6.28;96.01;1.01;0.05;837;101.3
1990-01-03 22:00:00;6.28;96.01;1.01;0.05;837;101.3
1990-01-03 23:00:00;6.28;96.01;1.01;0.05;837;101.3
1990-01-04 00:00:00;6.28;96.01;1.01;0.05;837;101.3
1990-01-04 01:00:00;6.5;93.53;1.01;0.05;837;101.3
1990-01-04 02:00:00;6.5;93.53;1.01;0.05;837;101.3
1990-01-04 03:00:00;6.5;93.53;1.01;0.05;837;101.3
1990-01-04 04:00:00;6.5;93.53;1.01;0.05;837;101.3
1990-01-04 05:00:00;6.5;93.53;1.01;0.05;837;101.3
1990-01-04 06:00:00;6.5;93.53;1.01;0.05;837;101.3
1990-01-04 07:00:00;6.08;94.97;0.87;0.05;837;101.3
1990-01-04 08:00:00;7.94;88.52;1.5;56.8;837;101.3
1990-01-04 09:00:00;9.75;82.27;2.13;124.9;837;101.3
1990-01-04 10:00:00;11.44;76.43;2.71;181.58;837;101.3
1990-01-04 11:00:00;12.94;71.25;3.24;221.62;837;101.3
1990-01-04 12:00:00;14.19;66.92;3.69;241.38;837;101.3
1990-01-04 13:00:00;15.15;63.61;4.05;239.03;837;101.3
1990-01-04 14:00:00;15.78;61.43;4.31;214.8;837;101.3
1990-01-04 15:00:00;16.05;60.47;4.45;170.9;837;101.3
1990-01-04 16:00:00;15.96;60.77;4.48;111.35;837;101.3
1990-01-04 17:00:00;15.52;62.32;4.39;41.61;837;101.3
1990-01-04 18:00:00;14.72;65.06;4.19;0.05;837;101.3
1990-01-04 19:00:00;13.62;68.89;3.88;0.05;837;101.3
1990-01-04 20:00:00;12.24;73.65;3.47;0.05;837;101.3
1990-01-04 21:00:00;6.5;93.53;1.01;0.05;837;101.3
1990-01-04 22:00:00;6.5;93.53;1.01;0.05;837;101.3
1990-01-04 23:00:00;6.5;93.53;1.01;0.05;837;101.3
1990-01-05 00:00:00;6.5;93.53;1.01;0.05;837;101.3
1990-01-05 01:00:00;5.91;94.54;1.11;0.05;837;101.3
1990-01-05 02:00:00;5.91;94.54;1.11;0.05;837;101.3
1990-01-05 03:00:00;5.91;94.54;1.11;0.05;837;101.3
1990-01-05 04:00:00;5.91;94.54;1.11;0.05;837;101.3
1990-01-05 05:00:00;5.91;94.54;1.11;0.05;837;101.3
1990-01-05 06:00:00;5.91;94.54;1.11;0.05;837;101.3
1990-01-05 07:00:00;5.47;96.04;0.96;0.05;837;101.3
1990-01-05 08:00:00;7.49;89.19;1.67;60.64;837;101.3
1990-01-05 09:00:00;9.44;82.54;2.36;132.75;837;101.3
1990-01-05 10:00:00;11.26;76.35;3;192.73;837;101.3
1990-01-05 11:00:00;12.87;70.85;3.59;235.11;837;101.3
1990-01-05 12:00:00;14.22;66.25;4.09;256.02;837;101.3
1990-01-05 13:00:00;15.26;62.73;4.49;253.53;837;101.3
1990-01-05 14:00:00;15.94;60.41;4.77;227.89;837;101.3
1990-01-05 15:00:00;16.24;59.4;4.94;181.43;837;101.3
1990-01-05 16:00:00;16.14;59.72;4.97;118.4;837;101.3
1990-01-05 17:00:00;15.66;61.37;4.87;44.55;837;101.3
1990-01-05 18:00:00;14.81;64.27;4.65;0.05;837;101.3
1990-01-05 19:00:00;13.61;68.33;4.3;0.05;837;101.3
1990-01-05 20:00:00;12.13;73.39;3.85;0.05;837;101.3
1990-01-05 21:00:00;5.91;94.54;1.11;0.05;837;101.3
1990-01-05 22:00:00;5.91;94.54;1.11;0.05;837;101.3
1990-01-05 23:00:00;5.91;94.54;1.11;0.05;837;101.3
1990-01-06 00:00:00;5.91;94.54;1.11;0.05;837;101.3
1990-01-06 01:00:00;5.74;94.67;1.04;0.05;837;101.3
1990-01-06 02:00:00;5.74;94.67;1.04;0.05;837;101.3
1990-01-06 03:00:00;5.74;94.67;1.04;0.05;837;101.3
1990-01-06 04:00:00;5.74;94.67;1.04;0.05;837;101.3
1990-01-06 05:00:00;5.74;94.67;1.04;0.05;837;101.3
1990-01-06 06:00:00;5.74;94.67;1.04;0.05;837;101.3
1990-01-06 07:00:00;5.3;96.15;0.89;0.05;837;101.3
1990-01-06 08:00:00;7.37;89.13;1.61;62.57;837;101.3
1990-01-06 09:00:00;9.37;82.33;2.31;136.32;837;101.3
1990-01-06 10:00:00;11.24;75.99;2.97;197.65;837;101.3
1990-01-06 11:00:00;12.89;70.36;3.57;240.98;837;101.3
1990-01-06 12:00:00;14.28;65.65;4.07;262.34;837;101.3
1990-01-06 13:00:00;15.34;62.04;4.48;259.81;837;101.3
1990-01-06 14:00:00;16.04;59.68;4.77;233.6;837;101.3
1990-01-06 15:00:00;16.34;58.64;4.94;186.1;837;101.3
1990-01-06 16:00:00;16.25;58.97;4.97;121.65;837;101.3
1990-01-06 17:00:00;15.75;60.65;4.87;46.12;837;101.3
1990-01-06 18:00:00;14.87;63.63;4.64;0.05;837;101.3
1990-01-06 19:00:00;13.65;67.78;4.29;0.05;837;101.3
1990-01-06 20:00:00;12.13;72.96;3.83;0.05;837;101.3
1990-01-06 21:00:00;5.74;94.67;1.04;0.05;837;101.3
1990-01-06 22:00:00;5.74;94.67;1.04;0.05;837;101.3
1990-01-06 23:00:00;5.74;94.67;1.04;0.05;837;101.3
1990-01-07 00:00:00;5.74;94.67;1.04;0.05;837;101.3
1990-01-07 01:00:00;6.22;95.09;1.1;0.05;837;101.3
1990-01-07 02:00:00;6.22;95.09;1.1;0.05;837;101.3
