plant_id;perennial_shoot_id;perennial_internode_id;last_year_shoot_id;this_year_shoot_id;basis_order;x;y;z
1;0;1;0;0;0;-0.17;-0.77;11.09
1;0;2;0;0;0;-0.01;-0.16;20.87
1;0;3;0;0;0;0.26;-0.5;31.49
1;0;4;0;0;0;-0.02;-0.89;41.71
1;0;5;0;0;0;-0.16;0.87;52.68
1;0;6;0;0;0;0.71;-0.95;63.28
1;0;7;0;0;0;0.69;0.59;73.75
1;1;1;0;0;0;11.09;0.09;85
1;1;2;0;0;0;20.41;0.06;84.843
1;1;3;0;0;0;27.27;0.04;85.257
1;1;4;0;0;0;34.82;-0.16;84.546
1;1;4;1;0;0;35.246;0.395;87.046
1;1;4;1;1;0;36.71957044;-0.028;97.796
1;1;4;1;1;1;37.22104527;0.144;108.236
1;1;4;1;1;2;38.90983577;0.128;115.716
1;1;4;1;1;3;39.81410959;-0.179;125.296
1;1;4;1;1;4;40.76523574;0.442;133.536
1;1;4;1;1;5;42.63459765;0.237;142.176
1;1;4;1;1;6;42.84410208;0.384;149.836
1;1;4;1;1;7;44.18982369;-0.375;159.556
1;1;4;1;1;8;44.4703427;0.228;170.156
1;1;4;1;1;9;45.44122061;-0.285;178.326
1;1;4;1;1;10;46.18570312;-0.403;186.446
1;1;4;2;0;0;34.758;0.244;89.546
1;1;4;2;1;0;33.43245452;0.42;97.156
1;1;4;2;1;1;32.18793534;-0.228;106.396
1;1;4;2;1;2;32.02427834;-0.109;113.646
1;1;4;2;1;3;31.89727213;0.283;124.836
1;1;4;2;1;4;30.04159102;-0.196;132.286
1;1;4;2;1;5;29.29949699;0.383;141.136
1;1;4;2;1;6;27.74067811;-0.458;147.766
1;1;4;2;1;7;26.64484468;-0.264;155.976
1;1;4;2;1;8;25.02670743;0.158;162.506
1;1;4;2;1;9;23.10179862;-0.485;169.166
1;1;4;2;1;10;21.81292747;-0.374;175.636
1;1;5;0;0;0;44.62;0.25;85.028
1;1;6;0;0;0;54.93;0.4;85.126
1;1;7;0;0;0;64.7;0.37;84.503
1;1;8;0;0;0;73.83;0.19;85.369
1;1;8;1;0;0;73.989;0.494;87.869
1;1;8;1;1;0;74.31819235;0.258;95.769
1;1;8;1;1;1;76.02991198;-0.437;106.339
1;1;8;1;1;2;76.59730263;0.353;116.239
1;1;8;1;1;3;77.35898509;-0.043;124.479
1;1;8;1;1;4;78.19103338;0.255;131.399
1;1;8;1;1;5;78.91428738;-0.355;140.669
1;1;8;1;1;6;79.70446376;-0.432;149.669
1;1;8;1;1;7;79.72712701;0.094;160.339
1;1;8;1;1;8;81.22024194;-0.121;169.429
1;1;8;1;1;9;82.10178769;0.473;178.079
1;1;8;1;1;10;83.84386694;0.223;188.559
1;1;8;2;0;0;74.276;-0.164;90.369
1;1;8;2;1;0;74.26649925;-0.199;98.199
1;1;8;2;1;1;73.23213076;-0.169;106.969
1;1;8;2;1;2;71.42664313;-0.45;115.549
1;1;8;2;1;3;70.81018685;-0.248;126.719
1;1;8;2;1;4;70.8043346;0.008;134.399
1;1;8;2;1;5;70.63093851;0.084;145.129
1;1;8;2;1;6;69.76758209;-0.181;155.959
1;1;8;2;1;7;68.88337938;-0.492;166.569
1;1;8;2;1;8;67.25447096;-0.291;177.339
1;1;8;2;1;9;66.71030536;-0.289;185.489
1;1;8;2;1;10;65.55185483;-0.339;193.779
1;1;9;0;0;0;80.76;-0.62;85.311
1;1;10;0;0;0;90.97;-0.25;84.644
1;1;11;0;0;0;99.64;-0.77;84.808
1;1;12;0;0;0;106.41;0.1;85.155
1;1;12;1;0;0;106.843;-0.345;87.655
1;1;12;1;1;0;108.07478;-0.045;94.625
1;1;12;1;1;1;108.8490374;-0.246;102.085
1;1;12;1;1;2;109.1208193;-0.489;110.405
1;1;12;1;1;3;109.8398741;0.173;121.165
1;1;12;1;1;4;110.0584897;-0.177;131.545
1;1;12;1;1;5;110.1943897;0.277;141.345
1;1;12;1;1;6;111.4996755;-0.162;147.895
1;1;12;1;1;7;112.8854775;-0.394;154.645
1;1;12;1;1;8;113.4286276;-0.174;165.035
1;1;12;1;1;9;113.5079634;0.414;173.345
1;1;12;1;1;10;114.2547893;-0.046;180.385
1;1;12;2;0;0;106.687;-0.263;90.155
1;1;12;2;1;0;104.9287657;0.14;99.305
1;1;12;2;1;1;103.3779811;-0.419;106.345
1;1;12;2;1;2;102.6016504;0.488;114.175
1;1;12;2;1;3;101.401528;0.026;122.765
1;1;12;2;1;4;100.6807126;0.321;131.185
1;1;12;2;1;5;99.65650206;0.251;139.525
1;1;12;2;1;6;98.13549952;-0.125;150.155
1;1;12;2;1;7;96.99070355;-0.281;160.185
1;1;12;2;1;8;95.43701346;-0.306;168.135
1;1;12;2;1;9;95.40036219;0.079;176.445
1;1;12;2;1;10;93.5095676;-0.267;186.375
1;1;13;0;0;0;117.49;0.59;84.968
1;1;14;0;0;0;128.61;-0.98;85.127
1;2;1;0;0;0;-7.21;-0.54;85
1;2;2;0;0;0;-17.47;-0.98;84.84
1;2;3;0;0;0;-25.44;0.08;84.921
1;2;4;0;0;0;-34.39;-0.33;84.512
1;2;4;1;0;0;-34.364;-0.351;87.012
